sex,age,absences,G1,G2,G3,Subject
M,19,2,9,9,10,Language
M,17,4,11,11,12,Language
F,17,3,10,11,10,Language
F,16,5,13,14,13,Language
M,16,4,9,10,11,Language
F,17,2,7,9,10,Language
M,17,0,8,13,10,Language
M,18,0,12,12,13,Language
M,17,0,10,9,10,Language
M,18,6,10,9,10,Language
F,16,0,11,13,12,Language
M,16,2,11,9,10,Language
M,16,0,10,10,9,Language
M,18,2,9,7,9,Language
M,19,4,6,11,9,Language
M,18,9,4,8,8,Language
M,16,6,7,8,8,Language
M,19,4,8,9,9,Language
F,16,8,5,5,7,Language
F,17,9,7,9,10,Language
M,20,12,8,11,10,Language
F,18,8,10,11,10,Language
M,18,8,9,10,11,Language
M,19,8,10,9,11,Language
M,17,4,8,9,10,Language
M,18,0,9,10,9,Language
M,19,4,8,9,10,Language
F,18,2,6,8,8,Language
F,19,0,6,8,7,Language
F,17,0,10,11,11,Language
F,17,5,8,7,8,Language
F,18,3,7,6,8,Language
F,17,0,8,10,9,Language
F,17,0,7,10,10,Language
F,18,3,7,8,7,Language
F,18,2,12,13,14,Language
F,17,0,11,12,13,Language
F,18,0,12,13,14,Language
F,18,0,18,18,18,Language
M,18,3,17,17,17,Language
F,17,0,17,18,18,Language
M,18,8,10,11,11,Language
M,18,5,12,13,14,Language
M,17,4,12,13,14,Language
F,18,4,8,8,10,Language
F,18,0,11,12,13,Language
F,18,2,9,10,10,Language
F,17,0,18,18,18,Language
F,17,5,11,11,12,Language
F,18,2,8,10,11,Language
F,18,0,11,11,12,Language
F,18,5,14,14,15,Language
M,17,4,10,11,11,Language
F,18,0,10,10,10,Language
F,17,2,12,12,12,Language
F,17,0,15,14,15,Language
M,18,2,14,13,14,Language
F,18,0,19,17,18,Language
F,18,0,16,15,15,Language
F,18,6,13,12,13,Language
F,17,4,15,14,15,Language
F,17,0,13,13,13,Language
M,18,0,8,10,9,Language
M,18,0,15,16,16,Language
F,17,0,8,8,9,Language
F,18,0,10,10,10,Language
M,18,3,9,10,10,Language
F,17,8,10,11,12,Language
F,17,4,7,8,9,Language
F,18,0,15,17,17,Language
F,18,4,10,11,12,Language
F,19,4,7,8,9,Language
F,18,1,13,14,14,Language
F,18,1,16,16,16,Language
F,17,10,8,9,9,Language
M,18,4,17,18,19,Language
M,17,4,14,15,16,Language
F,18,0,14,17,15,Language
F,17,0,6,9,11,Language
F,18,4,7,9,10,Language
F,19,4,10,11,10,Language
F,18,4,15,15,16,Language
F,18,6,11,12,9,Language
M,17,6,10,10,10,Language
M,18,4,10,11,11,Language
